Stationsindex; Höhe in m;Breite   ;Länge    ;Name                                    ;Bundesland                        
         3734;       230;    49.13;     9.35;Obersulm-Willsbach                      ;Baden-Württemberg                 
         3739;       596;    49.45;    12.44;Oberviechtach                           ;Bayern                            
         3761;       276;    49.21;     9.52;Öhringen                                ;Baden-Württemberg                 
         3811;       150;    51.30;    13.09;Oschatz                                 ;Sachsen                           
         3821;       246;    51.09;    11.93;Osterfeld                               ;Sachsen-Anhalt                    
         3836;       312;    50.45;    10.22;Ostheim v.d. Rhön                       ;Bayern                            
         3857;       885;    47.64;    10.39;Oy-Mittelberg-Petersthal                ;Bayern                            
         3875;       549;    49.15;    11.69;Parsberg/Oberpfalz-Eglwang              ;Bayern                            
         3897;         1;    54.09;    10.88;Pelzerhaken                             ;Schleswig-Holstein                
         3904;       152;    49.54;     6.38;Perl-Nennig                             ;Saarland                          
         3925;       333;    48.93;     8.70;Pforzheim-Ispringen                     ;Baden-Württemberg                 
         3927;       630;    47.93;     9.29;Pfullendorf                             ;Baden-Württemberg                 
         3939;       385;    49.19;     7.59;Pirmasens                               ;Rheinland-Pfalz                   
         3946;       386;    50.48;    12.13;Plauen                                  ;Sachsen                           
         3975;       522;    49.48;    11.54;Pommelsbrunn-Mittelburg                 ;Bayern                            
         3987;        81;    52.38;    13.06;Potsdam                                 ;Brandenburg                       
         4024;        40;    54.36;    13.48;Putbus                                  ;Mecklenburg-Vorpommern            
         4032;       142;    51.80;    11.13;Quedlinburg                             ;Sachsen-Anhalt                    
         4036;       204;    51.39;    11.54;Querfurt-Mühle Lodersleben              ;Sachsen-Anhalt                    
         4039;        13;    53.73;     9.88;Quickborn                               ;Schleswig-Holstein                
         4063;        41;    52.45;     8.59;Rahden-Kleinendorf                      ;Nordrhein-Westfalen               
         4094;       440;    47.81;     9.62;Weingarten, Kr. Ravensburg              ;Baden-Württemberg                 
         4104;       365;    49.04;    12.10;Regensburg                              ;Bayern                            
         4127;       350;    50.99;     7.70;Reichshof-Eckenhagen                    ;Nordrhein-Westfalen               
         4154;       345;    51.18;     7.25;Remscheid-Lennep                        ;Nordrhein-Westfalen               
         4160;       478;    48.74;     8.92;Renningen-Ihinger Hof                   ;Baden-Württemberg                 
         4169;       131;    48.67;     7.99;Rheinau-Memprechtshofen                 ;Baden-Württemberg                 
         4174;        40;    52.29;     7.39;Rheine-Bentlage                         ;Nordrhein-Westfalen               
         4177;       116;    48.97;     8.33;Rheinstetten                            ;Baden-Württemberg                 
         4189;       533;    48.15;     9.46;Altheim, Kreis Biberach                 ;Baden-Württemberg                 
         4261;       444;    47.88;    12.13;Rosenheim                               ;Bayern                            
         4271;         4;    54.18;    12.08;Rostock-Warnemünde                      ;Mecklenburg-Vorpommern            
         4275;        32;    53.13;     9.34;Rotenburg (Wümme)                       ;Niedersachsen                     
         4280;       385;    49.22;    11.10;Roth                                    ;Bayern                            
         4287;       415;    49.39;    10.17;Rothenburg ob der Tauber                ;Bayern                            
         4300;       588;    48.18;     8.64;Rottweil                                ;Baden-Württemberg                 
         4301;       102;    49.85;     7.87;Kreuznach, Bad                          ;Rheinland-Pfalz                   
         4323;       461;    49.65;     7.88;Ruppertsecken                           ;Rheinland-Pfalz                   
         4336;       320;    49.21;     7.11;Saarbrücken-Ensheim                     ;Saarland                          
         4349;       248;    48.96;     9.07;Sachsenheim                             ;Baden-Württemberg                 
         4354;       456;    48.78;    13.31;Saldenburg-Entschenreuth                ;Bayern                            
         4371;       135;    52.10;     8.75;Salzuflen, Bad                          ;Nordrhein-Westfalen               
         4377;       510;    50.35;    10.00;Sandberg                                ;Bayern                            
         4393;         5;    54.33;     8.60;Sankt Peter-Ording                      ;Schleswig-Holstein                
         4411;       155;    49.92;     8.97;Schaafheim-Schlierbach                  ;Hessen                            
         4445;       609;    51.77;    10.65;Wernigerode-Schierke                    ;Sachsen-Anhalt                    
         4464;       501;    50.57;    11.80;Schleiz                                 ;Thüringen                         
         4466;        43;    54.53;     9.55;Schleswig                               ;Schleswig-Holstein                
         4480;       230;    50.34;     9.55;Schlüchtern-Herolz                      ;Hessen                            
         4485;       296;    50.73;    10.45;Schmalkalden, Kurort                    ;Thüringen                         
         4501;       937;    50.65;    10.77;Schmücke                                ;Thüringen                         
         4508;       649;    50.30;     6.42;Schneifelforsthaus                      ;Rheinland-Pfalz                   
         4548;       609;    50.21;    12.14;Selb/Oberfranken-Lauterbach             ;Bayern                            
         4559;       399;    49.17;    12.62;Schorndorf-Knöbling                     ;Bayern                            
         4560;       265;    50.49;     9.12;Schotten                                ;Hessen                            
         4592;       356;    49.33;    12.09;Schwandorf                              ;Bayern                            
